Date;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2019-09-24T18:00:00.0/2019-09-24T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-24T19:00:00.0/2019-09-24T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-24T20:00:00.0/2019-09-24T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-24T21:00:00.0/2019-09-24T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-24T22:00:00.0/2019-09-24T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-24T23:00:00.0/2019-09-25T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-25T00:00:00.0/2019-09-25T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-25T01:00:00.0/2019-09-25T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-25T02:00:00.0/2019-09-25T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-25T03:00:00.0/2019-09-25T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-25T04:00:00.0/2019-09-25T05:00:00.0;17.5482;4.3645;0.2337;4.1308;4.5586;4.3645;0.2337;4.1308;4.5586;0.8167
2019-09-25T05:00:00.0/2019-09-25T06:00:00.0;209.6738;82.5430;20.4642;62.0788;115.7849;72.2172;13.2794;58.9378;73.8950;0.9667
2019-09-25T06:00:00.0/2019-09-25T07:00:00.0;432.5047;228.2466;94.2319;134.0147;288.7047;228.2466;94.2319;134.0147;288.7047;1.0000
2019-09-25T07:00:00.0/2019-09-25T08:00:00.0;624.9610;381.1354;194.9377;186.1977;420.0976;250.6388;61.9837;188.6551;145.1021;1.0000
2019-09-25T08:00:00.0/2019-09-25T09:00:00.0;773.8975;507.4717;288.1666;219.3052;503.5630;305.7289;45.6374;260.0915;76.6752;1.0000
2019-09-25T09:00:00.0/2019-09-25T10:00:00.0;869.1359;592.5481;359.7697;232.7784;560.4268;504.4077;189.3368;315.0709;297.2959;1.0000
2019-09-25T10:00:00.0/2019-09-25T11:00:00.0;904.1593;627.8395;398.9867;228.8528;597.7935;464.7231;99.1951;365.5281;148.5961;1.0000
2019-09-25T11:00:00.0/2019-09-25T12:00:00.0;876.5573;608.3770;393.9495;214.4276;608.8435;322.1743;30.4799;291.6944;46.7739;1.0000
2019-09-25T12:00:00.0/2019-09-25T13:00:00.0;788.1908;535.2823;342.3917;192.8906;588.0059;213.0648;8.2120;204.8528;13.7437;1.0000
2019-09-25T13:00:00.0/2019-09-25T14:00:00.0;645.0653;415.8258;251.9808;163.8450;527.4200;147.2547;0.8365;146.4182;1.8077;1.0000
2019-09-25T14:00:00.0/2019-09-25T15:00:00.0;456.9207;264.6050;141.2797;123.3253;413.2941;128.5460;7.6206;120.9253;22.3786;1.0000
2019-09-25T15:00:00.0/2019-09-25T16:00:00.0;236.5669;107.9280;41.4947;66.4333;217.5684;94.5770;23.6510;70.9260;141.3498;1.0000
2019-09-25T16:00:00.0/2019-09-25T17:00:00.0;29.6313;8.5854;1.1155;7.4699;17.2332;8.5854;1.1155;7.4699;17.2332;0.7833
2019-09-25T17:00:00.0/2019-09-25T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-25T18:00:00.0/2019-09-25T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-25T19:00:00.0/2019-09-25T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-25T20:00:00.0/2019-09-25T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-25T21:00:00.0/2019-09-25T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-25T22:00:00.0/2019-09-25T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-25T23:00:00.0/2019-09-26T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-26T00:00:00.0/2019-09-26T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-26T01:00:00.0/2019-09-26T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-26T02:00:00.0/2019-09-26T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-26T03:00:00.0/2019-09-26T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-26T04:00:00.0/2019-09-26T05:00:00.0;15.5797;4.2729;0.3900;3.8829;8.0015;0.5106;0.0000;0.5106;0.0000;0.8250
2019-09-26T05:00:00.0/2019-09-26T06:00:00.0;204.3542;94.5061;36.8975;57.6086;215.9553;10.1617;0.0000;10.1617;0.0000;0.8417
2019-09-26T06:00:00.0/2019-09-26T07:00:00.0;427.1518;257.9193;151.0419;106.8774;470.7246;21.6194;0.0000;21.6194;0.0000;1.0000
2019-09-26T07:00:00.0/2019-09-26T08:00:00.0;619.4781;420.0436;290.2785;129.7651;632.2683;38.6741;0.0000;38.6741;0.0000;1.0000
2019-09-26T08:00:00.0/2019-09-26T09:00:00.0;768.1970;551.1506;413.3606;137.7900;728.3430;67.7579;0.0017;67.7562;0.0028;1.0000
2019-09-26T09:00:00.0/2019-09-26T10:00:00.0;863.1451;636.2984;496.1722;140.1262;778.9749;292.1883;59.0208;233.1675;90.3963;1.0000
2019-09-26T10:00:00.0/2019-09-26T11:00:00.0;897.8256;668.1147;527.9318;140.1829;797.0290;650.3518;485.9018;164.4500;733.4712;1.0000
2019-09-26T11:00:00.0/2019-09-26T12:00:00.0;869.8517;645.2598;509.3219;135.9379;793.6011;645.2598;509.3219;135.9379;793.6011;1.0000
2019-09-26T12:00:00.0/2019-09-26T13:00:00.0;781.1099;569.0481;441.1861;127.8620;765.0763;569.0481;441.1861;127.8620;765.0763;1.0000
2019-09-26T13:00:00.0/2019-09-26T14:00:00.0;637.6314;446.1293;331.3684;114.7609;702.6218;363.5054;205.0639;158.4415;418.4220;1.0000
2019-09-26T14:00:00.0/2019-09-26T15:00:00.0;449.1803;289.0801;195.7893;93.2908;584.7111;238.1581;114.1113;124.0468;361.1139;1.0000
2019-09-26T15:00:00.0/2019-09-26T16:00:00.0;228.5875;120.1037;63.4553;56.6484;348.2591;120.1037;63.4553;56.6484;348.2591;1.0000
2019-09-26T16:00:00.0/2019-09-26T17:00:00.0;25.7477;8.4324;1.7439;6.6885;28.4520;8.4324;1.7439;6.6885;28.4520;0.8000
2019-09-26T17:00:00.0/2019-09-26T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-26T18:00:00.0/2019-09-26T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-26T19:00:00.0/2019-09-26T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-26T20:00:00.0/2019-09-26T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-26T21:00:00.0/2019-09-26T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-26T22:00:00.0/2019-09-26T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-26T23:00:00.0/2019-09-27T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-27T00:00:00.0/2019-09-27T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-27T01:00:00.0/2019-09-27T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-27T02:00:00.0/2019-09-27T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2019-09-27T03:00:00.0/2019-09-27T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
